laufkont laufzeit moral verw hoehe sparkont beszeit rate famges buerge wohnzeit verm alter weitkred wohn bishkred beruf pers telef gastarb kredit
1 10 4 2 2132 5 2 2 2 2 3 1 27 3 1 2 3 2 1 1 1
4 10 2 0 1546 1 3 3 3 1 2 1 31 3 2 1 2 1 1 1 1
4 24 4 0 1287 4 5 4 2 1 4 1 37 3 2 2 3 2 2 2 1
4 10 2 0 1418 2 3 3 3 1 2 1 35 3 1 1 2 2 1 1 1
3 6 4 0 1343 1 5 1 3 1 4 1 46 3 2 2 3 1 1 1 1
4 18 2 0 2662 5 4 4 3 1 3 2 32 3 2 1 3 2 1 1 1
4 18 4 3 6070 1 5 3 3 1 4 3 33 3 2 2 3 2 2 2 1
4 24 4 6 1927 5 3 3 2 1 2 3 33 3 2 2 3 2 2 2 1
4 18 4 3 2404 1 3 2 2 1 2 3 26 3 2 2 3 2 1 2 1
4 6 4 3 1554 1 4 1 2 1 2 3 24 3 1 2 3 2 2 2 1
4 22 2 0 1283 5 4 4 2 1 4 2 25 3 1 1 3 2 1 2 1
4 24 3 0 717 5 5 4 4 1 4 3 54 3 2 2 3 2 2 2 1
1 24 2 2 1747 1 2 4 3 2 1 2 24 3 2 1 2 2 1 1 1
1 9 4 5 1288 2 5 3 3 3 4 1 48 3 2 2 3 1 1 1 1
1 10 4 0 1038 1 4 4 3 2 3 2 49 3 2 2 3 2 2 2 1
4 10 2 1 2848 2 3 1 3 2 2 1 32 3 2 1 3 1 1 2 1
4 12 2 1 1413 4 4 3 3 1 2 2 55 3 2 1 3 2 1 1 1
4 30 4 3 3077 5 5 3 3 1 2 3 40 3 2 2 3 1 2 2 1
1 24 1 1 3632 1 3 1 2 3 4 3 22 1 1 1 3 2 1 1 1
4 18 4 1 3229 5 1 2 3 1 4 4 38 3 2 1 4 2 2 2 1
4 9 2 0 3577 2 3 1 3 3 2 1 26 3 1 1 3 1 1 1 1
4 12 4 0 682 2 4 4 2 1 3 3 51 3 2 2 3 2 2 2 1
4 10 2 3 1924 1 3 1 3 1 4 2 38 3 2 1 3 2 2 1 1
4 10 2 6 727 3 5 4 3 1 4 4 46 3 3 1 3 2 2 2 1
3 10 4 0 781 1 5 4 3 1 4 4 63 3 3 2 3 2 2 2 1
1 12 4 0 2121 1 3 4 3 1 2 2 30 3 2 2 3 2 1 2 1
4 12 4 6 701 1 3 4 3 1 2 3 32 3 2 2 3 2 1 2 1
4 10 4 2 2069 5 3 2 4 1 1 3 26 3 2 2 3 2 1 1 1
4 24 2 0 1525 4 4 4 2 1 3 3 34 3 2 1 3 1 2 2 1
4 48 4 9 7629 5 5 4 1 1 2 3 46 1 2 2 4 1 1 2 1
1 12 4 0 3499 1 3 3 2 2 2 1 29 3 2 2 3 2 1 2 0
4 6 2 3 1346 2 5 2 3 1 4 4 42 1 3 1 3 1 2 2 1
4 36 4 1 10477 5 5 2 3 1 4 4 42 3 3 2 3 2 1 2 1
1 24 2 1 2924 1 3 3 3 3 4 4 63 1 2 1 3 1 2 2 1
4 10 4 0 1231 1 5 3 3 1 4 1 32 3 2 2 2 1 1 1 1
3 18 2 0 1961 1 5 3 2 1 2 3 23 3 2 1 4 2 1 2 1
4 15 4 0 5045 5 5 1 2 1 4 3 59 3 2 1 3 2 2 2 1
4 12 4 0 1255 1 5 4 3 1 4 1 61 3 2 2 2 2 1 2 1
1 12 2 2 1858 1 2 4 2 1 1 3 22 3 1 1 3 2 1 2 1
4 6 4 2 1221 5 3 1 4 1 2 2 27 3 2 2 3 2 1 2 1
4 9 2 2 1388 1 3 4 2 1 2 1 26 3 1 1 3 2 1 2 1
4 12 2 3 2279 5 3 4 3 1 4 4 37 3 3 1 3 2 2 2 1
4 12 0 2 2759 1 5 2 3 1 4 2 34 3 2 2 3 2 1 2 1
3 24 2 3 1258 3 3 3 2 1 3 3 57 3 2 1 2 2 1 2 1
2 12 0 8 1410 1 3 2 3 1 2 1 31 3 2 1 2 2 2 2 1
1 15 2 0 1403 1 3 2 2 1 4 3 28 3 1 1 3 2 1 2 1
1 24 2 2 3021 1 3 2 1 1 2 1 24 3 1 1 2 2 1 2 1
1 24 2 9 6568 1 3 2 4 1 2 3 21 2 2 1 2 2 1 2 1
4 24 4 3 2578 4 5 2 3 1 2 3 34 3 2 1 3 2 1 2 1
2 24 4 1 7758 4 5 2 2 1 4 4 29 3 1 1 3 2 1 2 1
1 6 2 4 343 1 2 4 2 1 1 1 27 3 2 1 3 2 1 2 1
4 21 3 2 1591 2 4 4 3 1 3 1 34 3 2 2 4 2 1 2 1
1 27 2 3 3416 1 3 3 3 1 2 3 27 3 2 1 4 2 1 2 1
1 12 0 5 1108 1 4 4 3 1 3 1 28 3 2 2 3 2 1 2 0
2 27 3 1 5965 1 5 1 3 1 2 3 30 3 2 2 4 2 2 2 1
2 15 2 5 1514 2 3 4 3 3 2 1 22 3 2 1 3 2 1 2 1
4 30 4 3 6742 5 4 2 3 1 3 2 36 3 2 2 3 2 1 2 1
1 18 2 2 3650 1 2 1 2 1 4 3 22 3 1 1 3 2 1 2 1
1 21 2 2 3599 1 4 1 2 1 4 3 26 3 1 1 2 2 1 2 1
4 60 4 0 13756 5 5 2 3 1 4 4 63 1 3 1 4 2 2 2 1
2 9 2 0 276 1 3 4 4 1 4 1 22 3 1 1 2 2 1 2 1
4 42 4 2 4041 3 3 4 3 1 4 1 36 3 2 2 3 2 2 2 1
2 9 2 3 458 1 3 4 3 1 3 1 24 3 2 1 3 2 1 2 1
2 9 2 2 918 1 3 4 2 1 1 2 30 3 2 1 3 2 1 2 0
4 24 2 0 7393 1 3 1 3 1 4 2 43 3 2 1 2 1 1 2 1
3 10 2 4 1225 1 3 2 3 1 2 3 37 3 2 1 3 2 2 2 1
1 24 2 1 2812 5 5 2 2 1 4 1 26 3 1 1 3 2 1 2 1
4 15 2 1 3029 1 4 2 3 1 2 3 33 3 2 1 3 2 1 2 1
3 12 4 0 1480 3 1 2 3 1 4 4 66 1 3 3 1 2 1 2 1
3 6 4 6 1047 1 3 2 2 1 4 2 50 3 2 1 2 2 1 2 1
4 15 4 3 1471 1 3 4 3 1 4 4 35 3 3 2 3 2 2 2 1
4 24 2 2 5511 2 3 4 3 1 1 3 25 2 2 1 3 2 1 2 1
2 9 2 3 1206 1 5 4 2 1 4 1 25 3 2 1 3 2 1 2 1
2 24 3 3 6403 1 2 1 3 1 2 3 33 3 2 1 3 2 1 2 1
4 12 2 3 707 1 3 4 3 1 2 1 30 1 2 2 3 2 1 2 1
4 12 3 1 1503 1 3 4 4 1 4 1 41 3 1 1 3 2 1 2 1
2 12 2 0 6078 1 4 2 3 1 2 3 32 3 2 1 3 2 1 2 1
2 27 2 9 2528 1 2 4 2 1 1 2 32 3 2 1 3 1 2 2 1
2 12 2 9 1037 2 4 3 3 1 4 1 39 3 2 1 2 2 1 2 1
1 6 2 1 1352 3 1 1 2 1 2 2 23 3 1 1 1 2 2 2 1
4 24 2 3 3181 1 2 4 2 1 4 2 26 3 2 1 3 2 2 2 1
4 18 2 3 4594 1 2 3 3 1 2 3 32 3 2 1 3 2 2 2 1
2 48 2 10 5381 5 1 3 3 1 4 4 40 1 3 1 1 2 2 2 1
4 15 2 1 4657 1 3 3 3 1 2 3 30 3 2 1 3 2 2 2 1
2 9 2 9 1391 1 3 2 4 1 1 1 27 1 2 1 3 2 2 2 1
2 18 2 9 1913 4 2 3 4 1 3 1 36 1 2 1 3 2 2 2 1
4 42 2 3 7166 5 4 2 4 1 4 2 29 3 1 1 3 2 2 2 1
4 13 2 3 1409 2 1 2 2 1 4 1 64 3 2 1 3 2 1 2 1
4 24 3 9 2978 5 3 4 3 1 4 1 32 3 2 2 3 1 2 2 1
4 12 4 3 976 5 5 4 3 1 4 3 35 3 2 2 3 2 1 2 1
4 24 3 9 2375 3 3 4 3 1 2 3 44 3 2 2 3 1 2 2 1
4 12 4 3 522 3 5 4 3 1 4 2 42 3 2 2 3 1 2 2 1
4 28 4 3 2743 1 5 4 3 1 2 3 29 3 2 2 3 2 1 2 1
4 11 4 3 1154 2 1 4 2 1 4 1 57 3 2 3 2 2 1 2 1
4 24 4 1 5804 4 3 4 3 1 2 1 27 3 2 2 3 2 1 2 1
4 18 4 3 1169 5 3 4 3 1 3 2 29 3 2 2 3 2 2 2 1
1 15 4 2 1478 1 5 4 3 1 4 3 44 3 2 2 3 1 2 2 1
4 12 2 3 776 1 3 4 4 1 2 1 28 3 2 1 3 2 1 2 1
2 11 4 0 1322 4 3 4 2 1 4 3 40 3 2 2 3 2 1 2 1
2 16 4 0 1175 1 1 2 3 1 3 3 68 3 3 3 1 2 2 2 1
4 12 2 0 2133 5 5 4 2 1 4 4 52 3 3 1 4 2 2 2 1
4 15 4 3 1829 1 5 4 3 1 4 3 46 3 2 2 3 2 2 2 1
4 12 4 3 717 1 5 4 3 1 4 1 52 3 2 3 3 2 1 2 1
2 39 3 6 11760 2 4 2 3 1 3 4 32 3 1 1 3 2 2 2 1
2 9 4 6 1501 1 5 2 2 1 3 3 34 3 2 2 4 2 2 2 0
1 12 2 6 1200 5 3 4 2 1 4 2 23 1 1 1 3 2 2 2 1
2 9 2 0 3195 5 3 1 2 1 2 1 33 3 2 1 2 2 1 2 1
4 30 4 3 4530 1 4 4 2 1 4 3 26 3 1 1 4 2 2 2 1
4 12 3 5 1555 4 5 4 3 1 4 4 55 3 3 2 3 1 1 2 0
2 15 4 9 2326 3 3 2 3 1 4 3 27 1 2 1 3 2 1 2 1
2 18 4 9 1887 5 3 4 4 1 4 1 28 1 2 2 3 2 1 2 1
4 12 4 9 1264 5 5 4 3 1 4 4 57 3 1 1 2 2 1 2 1
4 7 3 3 846 5 5 3 3 1 4 4 36 3 3 1 3 2 1 2 1
4 15 4 6 1532 2 3 4 2 1 3 3 31 3 2 1 3 2 1 2 1
4 6 3 3 935 1 3 3 2 1 2 1 24 3 2 1 3 2 1 2 1
1 27 4 9 2442 1 5 4 3 1 4 3 43 2 2 4 4 1 2 2 1
2 18 4 9 3590 1 1 3 4 1 3 3 40 3 2 3 1 1 2 2 1
4 21 4 2 2288 1 2 4 2 1 4 2 23 3 2 1 3 2 2 2 1
4 27 3 9 5117 1 4 3 3 1 4 3 26 3 2 2 3 2 1 2 1
1 39 4 2 14179 5 4 4 3 1 4 2 30 3 2 2 4 2 2 2 1
4 15 2 3 1386 5 3 4 4 1 2 1 40 3 1 1 3 2 2 2 1
4 12 4 3 618 1 5 4 3 1 4 1 56 3 2 1 3 2 1 2 1
4 12 2 2 1574 1 3 4 3 1 2 1 50 3 2 1 3 2 1 2 1
4 6 4 3 700 5 5 4 3 1 4 4 36 3 3 2 3 2 1 2 1
4 12 2 3 886 5 3 4 2 1 2 3 21 3 2 1 3 2 1 2 1
4 36 2 1 4686 1 3 2 3 1 2 4 32 3 3 1 4 2 2 2 1
2 9 2 3 790 3 3 4 2 1 3 1 66 3 2 1 2 2 1 2 1
2 12 2 3 766 3 3 4 3 1 3 1 66 3 2 1 2 2 1 2 0
1 20 2 2 2212 5 4 4 3 1 4 3 39 3 2 1 3 2 2 2 1
2 10 2 0 7308 1 1 2 3 1 4 4 70 1 3 1 4 2 2 2 1
2 24 4 6 5743 1 2 2 2 1 4 4 24 3 3 2 3 2 2 2 1
1 14 2 0 3973 1 1 1 3 1 4 4 22 3 3 1 3 2 1 2 1
2 60 3 3 7418 5 3 1 3 1 1 1 27 3 2 1 2 2 1 2 1
2 20 3 10 2629 1 3 2 3 1 3 3 29 1 2 2 3 2 2 2 1
2 18 2 9 1941 4 3 4 3 1 2 2 35 3 2 1 2 2 2 2 1
2 24 3 2 2333 5 2 4 3 1 2 2 29 1 2 1 2 2 1 2 1
4 12 2 1 2445 5 2 2 4 1 4 3 26 3 1 1 3 2 2 2 1
2 20 2 1 6468 5 1 1 1 1 4 1 60 3 2 1 4 2 2 2 1
2 18 4 2 7374 1 1 4 3 1 4 2 40 2 2 2 4 2 2 2 1
4 15 2 1 3812 2 2 1 2 1 4 3 23 3 2 1 3 2 2 2 1
1 28 2 0 4006 1 3 3 3 1 2 3 45 3 2 1 2 2 1 2 0
2 12 2 0 7472 5 1 1 2 1 2 1 24 3 1 1 1 2 1 2 1
3 12 2 2 1424 5 5 3 2 1 4 1 55 3 2 1 4 2 2 2 1
2 12 2 1 2028 5 3 4 3 1 2 3 30 3 2 1 3 2 1 2 1
4 15 2 0 5324 3 5 1 2 1 4 4 35 3 3 1 3 2 1 2 1
2 36 2 3 2323 1 4 4 3 1 4 3 24 3 1 1 3 2 1 2 1
4 12 2 6 1393 1 5 4 3 1 4 2 47 1 2 3 3 1 2 2 1
4 18 2 2 1984 1 3 4 3 1 4 4 47 1 3 2 3 2 1 2 1
4 24 2 3 999 5 5 4 3 1 2 3 25 3 2 2 3 2 1 2 1
4 36 2 9 7409 5 5 3 3 1 2 2 37 3 2 2 3 2 1 2 1
4 15 2 2 2186 5 4 1 2 1 4 1 33 1 1 1 2 2 1 2 1
3 36 2 3 4473 1 5 4 3 1 2 3 31 3 2 1 3 2 1 2 1
4 24 2 8 937 1 2 4 4 1 3 3 27 3 2 2 2 2 1 2 1
4 18 2 2 3422 1 5 4 3 1 4 2 47 1 2 3 3 1 2 2 1
4 24 2 3 3105 5 2 4 3 1 2 3 25 3 2 2 3 2 1 2 1
4 12 4 6 2748 1 5 2 2 1 4 4 57 1 3 3 2 2 1 2 1
2 18 2 5 3872 1 1 2 2 1 4 3 67 3 2 1 3 2 2 2 1
4 27 2 5 5190 5 5 4 3 1 4 2 48 3 2 4 3 1 2 2 1
2 18 2 2 3001 1 4 2 2 1 4 1 40 3 1 1 3 2 1 2 1
4 24 3 9 3863 1 3 1 3 1 2 4 32 3 3 1 3 2 1 2 1
4 12 4 2 5801 5 5 2 3 1 4 2 49 3 1 1 3 2 2 1 1
4 12 4 2 1592 4 4 3 2 1 2 2 35 3 2 1 3 2 1 2 1
4 12 4 9 1185 1 3 3 2 1 2 1 27 3 2 2 3 2 1 2 1
4 18 4 2 3780 1 2 3 1 1 2 3 35 3 2 2 4 2 2 2 1
2 18 4 2 3612 1 5 3 2 1 4 2 37 3 2 1 3 2 2 1 1
4 12 2 9 1076 1 3 2 4 1 2 1 26 3 2 1 3 2 2 2 1
4 12 2 0 3527 5 2 2 3 1 3 2 45 3 2 1 4 1 2 2 1
4 18 2 3 2051 1 2 4 3 1 1 1 33 3 2 1 3 2 1 2 1
4 12 4 2 3331 1 5 2 3 1 4 2 42 2 2 1 3 2 1 2 1
1 18 0 9 3104 1 4 3 3 1 1 2 31 1 2 1 3 2 2 2 1
4 24 4 3 2611 1 5 4 4 2 3 1 46 3 2 2 3 2 1 2 1
1 12 4 1 1409 1 5 4 3 1 3 1 54 3 2 1 3 2 1 2 1
4 24 2 3 1311 2 4 4 4 1 3 2 26 3 2 1 3 2 2 2 1
4 6 2 3 2108 1 4 2 4 1 2 1 29 3 1 1 3 2 1 2 1
4 24 4 1 4042 5 4 3 3 1 4 2 43 3 2 2 3 2 2 2 1
4 12 4 0 926 1 1 1 2 1 2 2 38 3 2 1 1 2 1 2 1
1 12 2 3 1680 3 5 3 4 1 1 1 35 3 2 1 3 2 1 2 1
4 24 2 0 1249 1 2 4 4 1 2 1 28 3 2 1 3 2 1 2 1
4 24 4 0 2463 2 4 4 4 1 3 2 27 3 2 2 3 2 2 2 1
4 6 2 3 1595 1 4 3 3 1 2 2 51 3 2 1 3 1 1 2 1
4 24 4 5 2058 1 3 4 1 1 2 1 33 3 2 2 3 2 2 2 1
4 24 2 1 7814 1 4 3 3 1 3 3 38 3 2 1 4 2 2 2 1
4 6 4 3 1740 1 5 2 4 1 2 1 30 3 1 2 3 2 1 2 1
4 12 4 3 1240 5 5 4 2 1 2 1 38 3 2 2 3 2 2 2 1
4 24 4 1 6842 5 3 2 3 1 4 2 46 3 2 2 4 1 2 2 1
4 24 4 2 5150 1 5 4 3 1 4 3 33 3 2 1 3 2 2 2 1
1 6 2 0 1203 2 5 3 3 1 2 2 43 3 2 1 3 2 2 2 1
4 6 4 0 2080 3 3 1 4 1 2 3 24 3 2 1 3 2 1 2 1
4 6 2 6 1538 1 2 1 2 1 2 4 56 3 2 1 3 2 1 2 1
2 24 4 0 3878 2 2 4 1 1 2 3 37 3 2 1 3 2 2 2 1
2 30 2 2 3832 1 2 2 4 1 1 2 22 3 2 1 3 2 1 2 1
4 15 2 0 3186 4 4 2 2 1 3 3 20 3 1 1 3 2 1 2 1
2 24 2 3 2896 2 2 2 3 1 1 3 29 3 2 1 3 2 1 2 1
2 24 3 9 6967 2 4 4 3 1 4 3 36 3 1 1 4 2 2 2 1
4 36 2 6 1819 1 3 4 3 1 4 4 37 2 3 1 3 2 2 2 0
4 24 2 3 5943 5 2 1 2 1 1 3 44 3 2 2 3 2 2 2 0
4 36 4 2 7127 1 2 2 2 1 4 2 23 3 1 2 3 2 2 2 0
4 36 2 2 3349 1 3 4 2 1 2 3 28 3 2 1 4 2 2 2 0
4 36 2 2 10974 1 1 4 2 1 2 3 26 3 2 2 4 2 2 2 0
4 6 2 3 518 1 3 3 2 1 1 1 29 3 2 1 3 2 1 2 1
4 18 2 3 1126 5 2 4 2 1 2 1 21 3 1 1 3 2 2 2 1
2 12 4 1 1860 1 1 4 3 1 2 3 34 3 2 2 4 2 2 2 1
4 36 4 3 9566 1 3 2 2 1 2 3 31 2 2 2 3 2 1 2 1
1 12 2 3 701 1 3 4 4 1 2 1 40 3 2 1 2 2 1 2 1
2 12 2 3 2930 1 4 2 2 1 1 1 27 3 2 1 3 2 1 2 1
4 18 2 3 1505 1 3 4 3 1 2 4 32 3 3 1 4 2 2 2 1
4 18 4 3 2238 1 3 2 2 1 1 3 25 3 2 2 3 2 1 2 1
4 4 4 3 1503 1 4 2 3 1 1 1 42 3 2 2 2 1 1 2 1
4 24 4 1 2197 5 4 4 3 1 4 3 43 3 2 2 3 1 2 2 1
3 12 2 3 1881 1 3 2 2 1 2 3 44 3 1 1 2 2 2 2 1
1 18 4 3 1880 1 4 4 4 1 1 2 32 3 2 2 4 2 2 2 1
1 18 2 3 2389 1 2 4 2 1 1 3 27 2 2 1 3 2 1 2 1
2 24 2 3 1967 1 5 4 2 1 4 3 20 3 2 1 3 2 2 2 1
4 4 4 0 3380 1 4 1 2 1 1 1 37 3 2 1 3 1 1 2 1
4 4 4 0 1455 1 4 2 3 1 1 1 42 3 2 3 2 1 1 2 1
4 7 4 3 730 5 5 4 3 1 2 2 46 3 1 2 2 2 2 2 1
2 18 0 2 3244 1 3 1 2 1 4 3 33 1 2 2 3 2 2 2 1
2 9 2 3 1670 1 2 4 2 1 2 3 22 3 2 1 3 2 2 2 0
2 48 2 3 3979 5 4 4 3 1 1 3 41 3 2 2 3 1 2 2 1
2 12 2 2 1922 1 3 4 3 1 2 2 37 3 2 1 2 2 1 2 0
2 18 4 2 1295 1 2 4 2 1 1 2 27 3 2 2 3 2 1 2 1
4 4 4 3 1544 1 4 2 3 1 1 1 42 3 2 3 2 1 1 2 1
2 8 2 9 907 1 2 3 4 1 2 1 26 3 2 1 3 2 2 2 1
2 30 2 3 1715 5 3 4 2 1 1 3 26 3 2 1 3 2 1 2 1
3 10 4 3 1347 5 4 4 3 1 2 2 27 3 2 2 3 2 2 2 1
2 12 2 0 1007 4 3 4 4 1 1 1 22 3 2 1 3 2 1 2 1
4 12 4 2 1402 3 4 3 2 1 4 3 37 3 1 1 3 2 2 2 1
2 12 2 0 2002 1 4 3 3 1 4 2 30 3 1 1 3 1 2 2 1
4 12 4 6 2096 1 4 2 3 1 3 1 49 3 2 1 2 1 1 2 1
4 12 2 0 1101 1 3 3 4 1 2 1 27 3 2 2 3 2 2 2 1
4 10 2 8 894 5 4 4 2 1 3 2 40 3 2 1 3 2 2 2 1
2 11 2 2 1577 4 2 4 2 1 1 1 20 3 2 1 3 2 1 2 1
4 33 3 9 2764 1 3 2 2 1 2 3 26 3 2 2 3 2 2 2 1
2 48 0 0 8358 3 2 1 2 1 1 3 30 3 2 2 3 2 1 2 1
3 12 2 2 1474 1 2 4 2 1 1 2 33 1 2 1 4 2 2 2 1
4 24 2 1 5433 5 1 2 2 1 4 2 26 3 1 1 4 2 2 2 1
2 14 2 9 1410 3 5 1 4 1 2 1 35 3 2 1 3 2 2 2 1
4 20 4 0 3485 5 2 2 1 1 4 1 44 3 2 2 3 2 2 2 1
4 18 4 1 3850 1 4 3 3 1 1 3 27 3 2 2 3 2 1 2 1
2 60 2 0 7408 2 2 4 2 1 2 2 24 3 2 1 4 2 1 2 0
3 24 2 3 1377 2 5 4 2 1 2 4 47 3 3 1 3 2 2 2 1
4 30 3 9 4272 2 3 2 3 1 2 2 26 3 2 2 2 2 1 2 1
2 24 3 3 1553 2 4 3 2 1 2 2 23 3 1 2 3 2 2 2 1
2 36 3 9 9857 2 4 1 3 1 3 2 31 3 2 2 2 1 2 2 1
4 6 4 0 362 2 3 4 2 1 4 3 52 3 2 2 2 2 1 2 1
4 12 4 2 1935 1 5 4 3 1 4 1 43 3 2 3 3 2 2 2 1
4 48 2 3 10222 5 4 4 3 1 3 3 37 2 2 1 3 2 2 2 1
3 12 2 0 1330 1 2 4 3 1 1 1 26 3 2 1 3 2 1 2 1
4 36 2 6 9055 5 3 2 3 1 4 4 35 3 3 1 2 1 2 2 1
2 26 2 1 7966 1 2 2 3 1 3 3 30 3 2 2 3 2 1 2 1
2 30 1 2 3496 4 3 4 3 1 2 3 34 2 2 1 3 1 2 2 1
2 36 2 1 6948 1 3 2 3 1 2 3 35 3 1 1 4 2 2 2 1
2 48 0 9 12204 5 3 2 3 1 2 3 48 1 2 1 4 2 2 2 1
1 36 2 2 3446 1 5 4 3 1 2 3 42 3 2 1 3 1 1 2 0
1 12 2 6 684 1 3 4 3 1 4 3 40 3 1 1 2 1 1 2 0
1 33 4 2 4281 3 3 1 2 1 4 3 23 3 2 2 3 2 1 2 0
1 42 2 3 7174 5 4 4 2 1 3 3 30 3 2 1 4 2 2 2 0
1 24 1 3 1546 1 4 4 3 3 4 3 24 1 1 1 2 2 1 2 0
1 24 2 2 2359 2 1 1 1 1 1 2 33 3 2 1 3 2 1 2 0
4 24 2 3 3621 2 5 2 3 1 4 3 31 3 2 2 3 2 1 2 0
1 12 2 4 741 2 1 4 2 1 3 2 22 3 2 1 3 2 1 2 0
1 12 2 2 7865 1 5 4 3 1 4 4 53 3 3 1 4 2 2 2 0
1 24 2 1 2910 1 4 2 3 1 1 4 34 3 3 1 4 2 2 2 1
1 18 4 0 5302 1 5 2 3 1 4 4 36 3 3 3 4 2 2 2 1
1 36 2 2 3620 1 3 1 3 3 2 2 37 3 2 1 3 1 1 2 1
1 18 2 3 3509 1 4 4 2 3 1 1 25 3 2 1 3 2 1 2 1
2 12 2 2 3017 1 2 3 2 1 1 1 34 3 1 1 4 2 1 2 1
1 12 2 2 1657 1 3 2 3 1 2 1 27 3 2 1 3 2 1 2 1
1 8 4 10 1164 1 5 3 3 1 4 4 51 1 3 2 4 1 2 2 1
1 36 4 2 6229 1 2 4 2 2 4 4 23 3 1 2 2 2 2 2 0
1 24 1 0 1193 1 1 1 2 2 4 4 29 3 1 2 1 2 1 2 0
1 30 0 2 4583 1 3 2 1 3 2 1 32 3 2 2 3 2 1 2 1
1 36 4 2 5371 1 3 3 3 3 2 2 28 3 2 2 3 2 1 2 1
1 12 2 2 708 1 3 2 3 3 3 2 38 3 2 1 2 1 1 2 1
1 21 4 0 571 1 5 4 3 1 4 1 65 3 2 2 3 2 1 2 1
1 30 2 3 2522 1 5 1 3 3 3 2 39 3 2 1 3 1 1 2 1
1 36 2 2 5179 1 4 4 3 1 2 2 29 3 2 1 3 2 1 2 0
1 36 2 1 8229 1 3 2 3 1 2 2 26 3 2 1 3 1 1 2 0
4 24 4 2 2028 1 4 2 3 1 2 2 30 3 2 2 2 2 1 2 1
1 6 2 0 1374 5 1 4 2 1 3 2 75 3 2 1 4 2 2 2 1
1 12 2 2 1289 1 3 4 3 3 1 2 21 3 2 1 2 2 1 2 1
1 36 2 2 2712 1 5 2 3 1 2 2 41 1 2 1 3 1 1 2 0
1 15 4 2 975 1 3 2 1 1 3 2 25 3 2 2 3 2 1 2 1
2 6 3 2 1050 1 1 4 3 1 1 2 35 2 2 2 4 2 2 1 1
1 6 4 0 609 1 4 4 2 1 3 2 37 3 2 2 3 2 1 2 1
1 48 2 1 4788 1 4 4 3 1 3 2 26 3 2 1 3 1 1 2 1
2 24 2 2 3069 2 5 4 3 1 4 4 30 3 3 1 3 2 1 2 1
2 12 2 0 836 2 2 4 2 1 2 2 23 1 2 1 2 2 1 2 0
1 12 2 2 2577 1 3 2 1 1 1 3 42 3 2 1 3 2 1 2 1
1 12 2 2 1620 1 3 2 2 2 3 2 30 3 2 1 3 2 1 2 1
1 15 2 2 1845 1 2 4 2 3 1 2 46 3 1 1 3 2 1 2 1
1 24 2 1 6579 1 1 4 3 1 2 4 29 3 3 1 4 2 2 2 1
1 12 2 0 1893 1 3 4 2 3 4 2 29 3 2 1 3 2 2 2 1
1 30 4 1 10623 1 5 3 3 1 4 4 38 3 3 3 4 1 2 2 1
1 18 2 0 2249 2 4 4 3 1 3 3 30 3 2 1 4 1 2 2 1
1 30 2 2 3108 1 2 2 1 1 4 2 31 3 2 1 2 2 1 2 0
2 12 4 0 958 1 4 2 3 1 3 1 47 3 2 2 2 1 1 2 1
4 24 2 1 9277 5 3 2 1 1 4 4 48 3 3 1 3 2 2 2 1
4 24 4 10 6314 1 1 4 3 2 2 4 27 1 2 2 4 2 2 2 1
1 12 4 1 1526 1 5 4 3 1 4 4 66 3 3 2 4 2 1 2 1
1 12 2 2 3590 1 3 2 3 2 2 2 29 3 2 1 2 1 1 2 1
1 24 4 1 6615 1 1 2 3 1 4 4 75 3 3 2 4 2 2 2 1
1 6 4 2 1872 1 1 4 3 1 4 4 36 3 3 3 4 2 2 2 1
4 12 2 0 2859 5 1 4 3 1 4 4 38 3 2 1 4 2 2 2 1
4 18 4 3 1582 4 5 4 3 1 4 3 46 3 2 2 3 2 1 2 1
4 6 2 8 1238 5 1 4 3 1 4 2 36 3 2 1 4 1 2 2 1
1 12 2 2 2578 1 1 3 2 1 4 4 55 3 3 1 4 2 1 2 1
1 15 4 2 1433 1 3 4 2 1 3 2 25 3 1 2 3 2 1 2 1
1 42 2 2 7882 1 4 2 3 3 4 2 45 3 3 1 3 1 1 2 1
1 24 2 2 4169 1 3 4 3 1 4 2 28 3 2 1 3 2 1 2 1
1 36 2 2 3959 1 1 4 3 1 3 2 30 3 2 1 4 2 2 2 1
1 36 2 0 3249 1 4 2 3 1 4 4 39 1 3 1 4 1 2 2 1
1 24 2 2 3149 1 2 4 3 1 1 4 22 1 3 1 3 2 1 2 1
1 12 4 2 2246 1 5 3 3 1 3 2 60 3 2 2 3 2 1 2 0
1 13 4 9 1797 1 2 3 3 1 1 2 28 1 2 2 2 2 1 2 1
1 20 4 2 4272 1 5 1 2 1 4 2 24 3 2 2 3 2 1 2 1
1 24 4 1 2957 1 5 4 3 1 4 2 63 3 2 2 3 2 2 2 1
1 36 4 2 2348 1 3 3 4 1 2 2 46 3 2 2 3 2 2 2 1
3 42 0 9 6289 1 2 2 1 1 1 2 33 3 2 2 3 2 1 2 1
1 24 4 1 6419 1 5 2 2 1 4 4 44 3 3 2 4 1 2 2 1
1 48 4 1 6143 1 5 4 2 1 4 4 58 2 3 2 2 2 1 2 0
4 24 4 6 1597 1 5 4 3 1 4 4 54 3 3 2 3 1 1 2 1
1 36 2 10 15857 1 1 2 1 2 3 3 43 3 2 1 4 2 1 2 1
4 24 4 3 2223 2 5 4 3 1 4 2 52 1 2 2 3 2 1 2 1
